id;name;group;scholar_id;semantic_id;Seniortiy;
1;Philipp Berens;All;lPQLk3QAAAAJ;;Old People;
2;Dmitry Kobak;Embedding;BUQbD5kAAAAJ;;Old People;
3;Sacha Sokoloski;Neural;LNG-o9AAAAAJ;;Old People;
4;Jonas Beck;Neural;jndTQCgAAAAJ;;Senior;
5;Sebastian Damrich;Embedding;-ClpooYAAAAJ;;Old People;
6;Kerol Djoumessi ;MedML;DsvdINYAAAAJ;;Senior;
7;Simone Ebert ;Neural;NfMUuS4AAAAJ;;Old People;
8;Julius Gervelmeyer ;MedML;TGBhQKUAAAAJ;;Upper Junior;
9;Rita González Márquez ;Embedding;RAfipNgAAAAJ;;Senior;
10;Verena Jasmin Hallitschke ;MedML;-vzlpggAAAAJ;;Junior;
11;Ziwei Huang ;All;nCAr1egAAAAJ;;Old People;
12;Kyra Kadhim ;Neural;IMwZHisAAAAJ;;Upper Junior;
13;Jan Lause ;Embedding;JYcKrgYAAAAJ;;Old People;
14;Samuel Ofosu Mensah ;MedML;9PG_MH8AAAAJ;;Old People;
15;Sarah Müller;MedML;UGqIaQcAAAAJ;;Senior;
16;Ifeoma Veronica Nwabufo ;MedML;VU1YoC4AAAAJ;;Junior;
17;Jonathan Oesterle ;Neural;jGoWHKoAAAAJ;;Old People;
18;Camila Roa ;MedML;;;Junior;
19;Lisa Schmors ;Neural;I5bME5kAAAAJ;;Old People;
20;Fabio Seel ;Neural;;;Junior;
21;Aleksejs Timčenko ;Neural;MqO0GaoAAAAJ;;Junior;
22;Jan Niklas Böhm ;Embedding;CWHChI8AAAAJ;;alumni;
23;Indu Ilanchezian ;MedML;kyp-9IcAAAAJ;;alumni;
24;Lisa Koch;MedML;R0iwuiIAAAAJ;;alumni;
25;Patrick Köhler ;MedML;;2312898807;alumni;
26;Sarah Strauß ;Neural;_GUAiZ4AAAAJ;;alumni;
27;Luke Rogerson;Neural;;9646746;alumni;
28;Christian Behrens;Neural;P9FNAkgAAAAJ;;alumni;
29;Sophie Laturnus;Neural;MDz7wOIAAAAJ;;alumni;
30;Yves Bernaerts;Neural;_iAW1WIAAAAJ;;alumni;
31;Murat Seçkin Ayhan;MedML;ZX9sqrkAAAAJ;;alumni;
